np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
M_vPNml79	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml80	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml81	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml82	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml83	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml84	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml85	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml86	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml87	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml88	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml89	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
mAL1					?	no AL innervation?
mAL2A					?	no AL innervation?
mAL2B					?	no AL innervation?
mAL3A					?	no AL innervation?
mAL3B					?	no AL innervation?
mAL4					?	no AL innervation?
mAL5A					?	no AL innervation?
mAL5B					?	no AL innervation?
mAL6					?	no AL innervation?
mALB1					?	no AL innervation?
mALB2					?	no AL innervation?
mALB3					?	no AL innervation?
mALB4					?	no AL innervation?
mALB5					?	no AL innervation?
mALC1					?	no AL innervation?
mALC2					?	no AL innervation?
mALC3					?	no AL innervation?
mALC4					?	no AL innervation?
mALC5					?	no AL innervation?
mALC6					?	no AL innervation?
mALD1					?	no AL innervation?
mALD2					?	no AL innervation?
mALD3					?	no AL innervation?
mALD4					?	no AL innervation?
MB-C1	FBbt:00100226	mushroom body calyx arborizing neuron 1				
MBON01	FBbt:00100234	mushroom body medial lobe arborizing neuron 6				
MBON02	FBbt:00111012	mushroom body output neuron 2				
MBON03	FBbt:00100232	mushroom body medial lobe arborizing neuron 4				
MBON04	FBbt:00111014	mushroom body output neuron 4				
MBON05	FBbt:00111004	mushroom body output neuron 5				
MBON06	FBbt:00100242	mushroom body medial-vertical lobe arborizing neuron 2				
MBON07	FBbt:00111005	mushroom body output neuron 7				
MBON09	FBbt:00111007	mushroom body output neuron 9				
MBON10	FBbt:00111008	mushroom body output neuron 10				
MBON11	FBbt:00100246	mushroom body pedunculus-medial lobe and vertical lobe arborizing neuron 2				
MBON12	FBbt:00111009	mushroom body output neuron 12				
MBON13	FBbt:00100239	mushroom body vertical lobe arborizing neuron 4				
MBON14	FBbt:00100238	mushroom body vertical lobe arborizing neuron 3				
MBON15	FBbt:00111010	mushroom body output neuron 15				
MBON15-like	FBbt:00047953	mushroom body output neuron			specificity	
MBON16	FBbt:00111063	mushroom body vertical lobe arborizing neuron 2 alpha\' anterior-posterior				
MBON17	FBbt:00111064	mushroom body vertical lobe arborizing neuron 2 alpha\' middle				
MBON17-like	FBbt:00047953	mushroom body output neuron			specificity	
MBON18	FBbt:00110101	mushroom body vertical lobe arborizing neuron 2 alpha				
MBON19	FBbt:00111011	mushroom body output neuron 19				
MBON20	FBbt:00111013	mushroom body output neuron 20				
MBON21	FBbt:00111046	mushroom body output neuron 21				
MBON22	FBbt:00100240	mushroom body calyx-pedunculus arborizing neuron 1				
MBON23	FBbt:00047953	mushroom body output neuron			specificity	
MBON24	FBbt:00047953	mushroom body output neuron			specificity	
MBON25	FBbt:00047953	mushroom body output neuron			specificity	
MBON26	FBbt:00047953	mushroom body output neuron			specificity	
MBON27	FBbt:00047953	mushroom body output neuron			specificity	
MBON28	FBbt:00047953	mushroom body output neuron			specificity	
